"Source:","/home/sniper/Dokumenty/astrobox/astrobox_radio_input/astrobox_radio_input.kicad_sch"
"Date:","Ne 21. dubna 2024, 10:26:13"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu23.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C3","100nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~",""
"2","2","C2, C4","330nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~",""
"3","1","J1","Satelite finder","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"4","1","J2","GPS Modul GY-NEO6MV2 ","Connector:Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~",""
"5","1","J3","INTERCOM1","Connector:Conn_01x05_Socket","Connector_Hirose:Hirose_DF63-5P-3.96DSA_1x05_P3.96mm_Vertical","~",""
"6","1","J4","ADS1115 modul","Connector:Conn_01x10_Socket","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~",""
"7","1","J5","EXT_PWR","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~",""
"8","1","J6","INTERCOM2","Connector:Conn_01x05_Socket","Connector_Hirose:Hirose_DF63-5P-3.96DSA_1x05_P3.96mm_Vertical","~",""
"9","1","J7","I2C","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~",""
"10","1","J8","Raspberry_Pi","Connector:Raspberry_Pi_2_3","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf",""
"11","1","L1","DPO-3.0-100","Device:L_Iron","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5","~",""
"12","2","U1, U2","L7805","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf",""
